CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,TIPO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NA_Gto,PES,RSP,FXM,CAND_IND_1,PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,OBSERVACIONES
'110752B0100,110752B0100,11,GUANAJUATO,47,DISTRITO I,752,342,B,0,R,130,34,4,19,7,6,46,4,21,2,34,,0,0,14,321,696,Cotejo
'110752C0100,110752C0100,11,GUANAJUATO,47,DISTRITO I,752,343,C,0,R,151,31,2,13,4,6,39,7,7,3,26,,0,0,18,307,696,Cotejo
'110752C0200,110752C0200,11,GUANAJUATO,47,DISTRITO I,752,344,C,0,R,117,49,1,13,4,8,27,3,8,7,30,,0,0,20,287,696,Cotejo
'110752C0300,110752C0300,11,GUANAJUATO,47,DISTRITO I,752,345,C,0,R,156,39,2,20,4,3,37,4,13,4,21,,0,1,22,326,695,Cotejo
'110753B0100,110753B0100,11,GUANAJUATO,47,DISTRITO I,753,461,B,0,U,139,30,9,16,5,9,54,17,12,4,18,,0,2,16,331,702,Cotejo
'110753C0100,110753C0100,11,GUANAJUATO,47,DISTRITO I,753,462,C,0,U,138,37,4,17,2,11,58,15,4,10,21,,0,0,19,336,702,Cotejo
'110753C0200,110753C0200,11,GUANAJUATO,47,DISTRITO I,753,463,C,0,U,137,43,1,22,3,10,66,11,9,4,17,,0,0,17,340,702,Cotejo
'110753C0300,110753C0300,11,GUANAJUATO,47,DISTRITO I,753,464,C,0,U,132,38,2,22,1,8,43,8,12,5,18,,0,0,16,305,701,Recuento
'110753C0400,110753C0400,11,GUANAJUATO,47,DISTRITO I,753,465,C,0,U,137,39,6,17,5,7,50,13,10,1,13,,0,1,15,314,701,Cotejo
'110754B0100,110754B0100,11,GUANAJUATO,47,DISTRITO I,754,466,B,0,U,153,56,2,21,4,6,57,5,5,5,13,,0,0,15,342,742,Cotejo
'110754C0100,110754C0100,11,GUANAJUATO,47,DISTRITO I,754,467,C,0,U,143,64,2,23,8,10,59,12,12,8,25,,0,1,10,377,741,Cotejo
'110754S0100,110754S0100,11,GUANAJUATO,47,DISTRITO I,754,468,S,0,U,174,79,5,14,5,12,76,3,5,10,29,,0,0,16,428,0,Cotejo
'110755B0100,110755B0100,11,GUANAJUATO,47,DISTRITO I,755,469,B,0,U,165,0,0,25,2,9,49,4,14,7,16,,36,0,21,348,744,Cotejo
'110755C0100,110755C0100,11,GUANAJUATO,47,DISTRITO I,755,470,C,0,U,167,29,3,15,1,9,55,15,15,13,19,,0,3,16,360,744,Cotejo
'110755C0200,110755C0200,11,GUANAJUATO,47,DISTRITO I,755,471,C,0,U,124,32,3,14,10,7,54,8,6,5,19,,0,0,14,296,744,Cotejo
'110755C0300,110755C0300,11,GUANAJUATO,47,DISTRITO I,755,472,C,0,U,149,33,4,18,0,9,59,4,11,11,21,,0,1,22,342,744,Recuento
'110756B0100,110756B0100,11,GUANAJUATO,47,DISTRITO I,756,346,B,0,R,153,37,2,17,5,3,43,9,9,5,9,,0,0,15,307,630,Cotejo
'110756C0100,110756C0100,11,GUANAJUATO,47,DISTRITO I,756,347,C,0,R,160,42,3,29,3,5,40,6,9,2,13,,1,0,12,325,630,Cotejo
'110756C0200,110756C0200,11,GUANAJUATO,47,DISTRITO I,756,348,C,0,R,140,42,4,17,4,5,40,6,8,3,7,,0,1,14,291,630,Cotejo
'110756C0300,110756C0300,11,GUANAJUATO,47,DISTRITO I,756,349,C,0,R,146,34,1,20,4,2,50,3,9,6,14,,1,0,14,304,629,Cotejo
'110757B0100,110757B0100,11,GUANAJUATO,47,DISTRITO I,757,473,B,0,U,141,13,1,14,0,1,32,0,8,3,17,,0,0,9,239,392,Cotejo
'110757C0100,110757C0100,11,GUANAJUATO,47,DISTRITO I,757,474,C,0,U,117,36,4,7,2,3,41,5,7,6,8,,0,1,3,240,392,Cotejo
'110758B0100,110758B0100,11,GUANAJUATO,47,DISTRITO I,758,475,B,0,U,146,48,1,9,0,13,64,8,22,7,19,,0,0,22,359,691,Cotejo
'110758C0100,110758C0100,11,GUANAJUATO,47,DISTRITO I,758,476,C,0,U,146,34,4,14,3,10,59,4,32,3,18,,0,0,21,348,691,Cotejo
'110759B0100,110759B0100,11,GUANAJUATO,47,DISTRITO I,759,477,B,0,U,181,42,4,14,2,9,51,3,16,6,20,,0,0,11,359,665,Cotejo
'110759C0100,110759C0100,11,GUANAJUATO,47,DISTRITO I,759,478,C,0,U,172,34,2,14,9,7,69,8,9,6,18,,2,0,16,366,665,Cotejo
'110759C0200,110759C0200,11,GUANAJUATO,47,DISTRITO I,759,479,C,0,U,150,42,2,17,1,3,45,3,22,7,20,,0,0,12,324,665,Cotejo
'110759C0300,110759C0300,11,GUANAJUATO,47,DISTRITO I,759,480,C,0,U,174,37,2,21,5,7,47,10,16,4,22,,0,1,14,360,664,Cotejo
'110760B0100,110760B0100,11,GUANAJUATO,47,DISTRITO I,760,481,B,0,U,164,25,1,19,2,10,49,8,13,3,17,,0,1,39,351,661,Cotejo
'110760C0100,110760C0100,11,GUANAJUATO,47,DISTRITO I,760,482,C,0,U,166,26,2,13,7,4,59,7,28,5,20,,0,0,17,354,661,Cotejo
'110760C0200,110760C0200,11,GUANAJUATO,47,DISTRITO I,760,483,C,0,U,141,29,4,21,4,5,61,10,12,1,23,,2,0,17,330,661,Cotejo
'110760C0300,110760C0300,11,GUANAJUATO,47,DISTRITO I,760,484,C,0,U,150,28,2,12,2,5,56,10,11,3,17,,0,0,14,310,660,Cotejo
'110760C0400,110760C0400,11,GUANAJUATO,47,DISTRITO I,760,485,C,0,U,140,19,3,12,4,6,73,10,6,6,15,,0,1,8,303,660,Cotejo
'110760C0500,110760C0500,11,GUANAJUATO,47,DISTRITO I,760,486,C,0,U,162,40,2,15,4,4,63,7,7,7,15,,0,0,6,332,660,Cotejo
'110760C0600,110760C0600,11,GUANAJUATO,47,DISTRITO I,760,487,C,0,U,165,39,1,18,1,11,68,6,15,3,20,,0,0,7,354,660,Cotejo
'110760C0700,110760C0700,11,GUANAJUATO,47,DISTRITO I,760,488,C,0,U,182,37,4,15,2,9,54,7,9,3,7,,0,0,12,341,660,Cotejo
'110776B0100,110776B0100,11,GUANAJUATO,47,DISTRITO I,776,350,B,0,R,88,54,1,10,6,1,26,4,12,5,16,,0,2,8,233,491,Cotejo
'110776C0100,110776C0100,11,GUANAJUATO,47,DISTRITO I,776,351,C,0,R,94,39,1,18,5,3,24,9,12,4,5,,3,2,18,237,490,Cotejo
'110777B0100,110777B0100,11,GUANAJUATO,47,DISTRITO I,777,352,B,0,R,67,47,2,19,10,1,17,3,9,7,29,,0,3,22,236,568,Recuento
'110777C0100,110777C0100,11,GUANAJUATO,47,DISTRITO I,777,353,C,0,R,73,43,1,20,3,6,14,4,3,4,32,,1,0,25,229,567,Cotejo
'110778B0100,110778B0100,11,GUANAJUATO,47,DISTRITO I,778,354,B,0,R,61,71,5,19,3,5,27,5,12,4,31,,0,2,23,268,624,Recuento
'110778C0100,110778C0100,11,GUANAJUATO,47,DISTRITO I,778,355,C,0,R,74,76,1,24,4,6,22,4,10,5,23,,1,0,14,264,623,Recuento
'110778C0200,110778C0200,11,GUANAJUATO,47,DISTRITO I,778,356,C,0,R,90,96,1,20,3,3,18,4,10,4,22,,0,1,26,298,623,Recuento
'110779B0100,110779B0100,11,GUANAJUATO,47,DISTRITO I,779,357,B,0,R,108,118,3,11,4,7,8,3,4,8,19,,0,0,24,317,604,Recuento
'110779E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,779,358,E,0,R,48,22,4,4,2,3,10,0,9,4,2,,0,0,12,120,208,Cotejo
'110780B0100,110780B0100,11,GUANAJUATO,47,DISTRITO I,780,359,B,0,R,116,61,2,6,4,8,16,6,3,4,26,,0,0,20,272,658,Cotejo
'110780C0100,110780C0100,11,GUANAJUATO,47,DISTRITO I,780,360,C,0,R,77,66,3,8,5,4,16,6,5,1,37,,0,0,26,254,658,Recuento
'110781B0100,110781B0100,11,GUANAJUATO,47,DISTRITO I,781,361,B,0,R,128,74,3,5,6,3,20,1,5,0,13,,0,5,20,283,543,Cotejo
'110781C0100,110781C0100,11,GUANAJUATO,47,DISTRITO I,781,362,C,0,R,88,56,2,13,3,5,14,6,4,0,15,,0,0,9,215,542,Cotejo
'110781C0200,110781C0200,11,GUANAJUATO,47,DISTRITO I,781,363,C,0,R,95,57,1,12,2,6,17,7,6,4,20,,0,0,9,236,542,Cotejo
'110782B0100,110782B0100,11,GUANAJUATO,47,DISTRITO I,782,364,B,0,R,81,51,8,27,4,11,19,3,4,6,10,,0,0,11,235,522,Cotejo
'110782C0100,110782C0100,11,GUANAJUATO,47,DISTRITO I,782,365,C,0,R,66,47,4,15,5,4,30,1,4,0,21,,1,0,27,225,522,Recuento
'110783B0100,110783B0100,11,GUANAJUATO,47,DISTRITO I,783,366,B,0,R,48,59,6,11,4,1,8,0,4,3,10,,0,0,15,169,400,Recuento
'110783C0100,110783C0100,11,GUANAJUATO,47,DISTRITO I,783,367,C,0,R,47,82,3,20,5,1,5,0,8,3,5,,0,0,15,194,399,Cotejo
'110784B0100,110784B0100,11,GUANAJUATO,47,DISTRITO I,784,368,B,0,R,106,67,3,12,3,7,34,6,6,5,21,,0,0,35,305,617,Cotejo
'110784C0100,110784C0100,11,GUANAJUATO,47,DISTRITO I,784,369,C,0,R,72,46,4,3,1,0,10,4,3,2,11,,0,0,11,167,616,Cotejo
'110785B0100,110785B0100,11,GUANAJUATO,47,DISTRITO I,785,370,B,0,R,50,102,1,23,1,6,21,5,8,6,21,,0,0,12,256,649,Cotejo
'110785C0100,110785C0100,11,GUANAJUATO,47,DISTRITO I,785,371,C,0,R,40,100,4,26,1,4,29,4,9,8,26,,0,0,19,270,649,Cotejo
'110786B0100,110786B0100,11,GUANAJUATO,47,DISTRITO I,786,372,B,0,R,75,54,1,24,3,4,8,4,4,2,10,,1,0,15,205,517,Cotejo
'110786C0100,110786C0100,11,GUANAJUATO,47,DISTRITO I,786,373,C,0,R,62,59,1,15,3,9,9,3,1,3,16,,0,1,24,206,516,Recuento
'110787B0100,110787B0100,11,GUANAJUATO,47,DISTRITO I,787,374,B,0,R,88,53,5,29,2,4,13,2,2,2,24,,0,0,10,234,495,Cotejo
'110787C0100,110787C0100,11,GUANAJUATO,47,DISTRITO I,787,375,C,0,R,75,49,1,16,2,2,12,0,4,1,24,,0,0,11,197,495,Cotejo
'110788B0100,110788B0100,11,GUANAJUATO,47,DISTRITO I,788,376,B,0,R,84,63,2,12,2,2,20,4,7,4,15,,0,0,19,234,476,Cotejo
'110788C0100,110788C0100,11,GUANAJUATO,47,DISTRITO I,788,377,C,0,R,121,62,2,14,4,4,14,7,6,0,16,,0,0,21,271,476,Cotejo
'110789B0100,110789B0100,11,GUANAJUATO,47,DISTRITO I,789,378,B,0,R,117,60,2,12,3,3,18,0,1,6,10,,0,0,19,251,584,Cotejo
'110790B0100,110790B0100,11,GUANAJUATO,47,DISTRITO I,790,379,B,0,R,139,21,6,17,6,6,29,13,6,20,21,,0,2,18,304,730,Cotejo
'110790C0100,110790C0100,11,GUANAJUATO,47,DISTRITO I,790,380,C,0,R,123,44,2,15,2,8,24,4,6,3,21,,0,0,26,278,730,Cotejo
'110790C0200,110790C0200,11,GUANAJUATO,47,DISTRITO I,790,381,C,0,R,130,48,4,21,3,8,17,10,4,11,20,,0,0,14,290,730,Cotejo
'110791B0100,110791B0100,11,GUANAJUATO,47,DISTRITO I,791,382,B,0,R,127,52,2,27,4,4,22,4,3,1,23,,0,0,9,278,670,Cotejo
'110791C0100,110791C0100,11,GUANAJUATO,47,DISTRITO I,791,383,C,0,R,120,39,1,29,6,2,20,7,5,1,21,,0,1,17,269,669,Cotejo
'110792B0100,110792B0100,11,GUANAJUATO,47,DISTRITO I,792,384,B,0,R,68,66,3,17,2,15,19,8,9,3,28,,1,0,20,259,581,Recuento
'110792C0100,110792C0100,11,GUANAJUATO,47,DISTRITO I,792,385,C,0,R,71,70,6,26,1,4,21,5,12,6,17,,0,0,18,257,581,Recuento
'110792C0200,110792C0200,11,GUANAJUATO,47,DISTRITO I,792,386,C,0,R,90,44,2,19,2,5,32,7,16,4,27,,1,0,10,259,581,Cotejo
'110793B0100,110793B0100,11,GUANAJUATO,47,DISTRITO I,793,387,B,0,R,119,83,2,9,5,9,57,0,5,2,15,,1,0,10,317,656,Cotejo
'110793C0100,110793C0100,11,GUANAJUATO,47,DISTRITO I,793,388,C,0,R,95,93,1,16,4,5,36,4,8,1,21,,0,0,17,301,656,Recuento
'110793C0200,110793C0200,11,GUANAJUATO,47,DISTRITO I,793,389,C,0,R,120,115,1,9,5,4,31,3,6,3,11,,1,1,13,323,656,Recuento
'110794B0100,110794B0100,11,GUANAJUATO,47,DISTRITO I,794,390,B,0,R,83,53,4,24,8,6,23,2,15,3,29,,0,0,28,278,729,Cotejo
'110794C0100,110794C0100,11,GUANAJUATO,47,DISTRITO I,794,391,C,0,R,76,54,1,11,2,5,17,5,5,5,25,,0,3,24,233,729,Cotejo
'110795B0100,110795B0100,11,GUANAJUATO,47,DISTRITO I,795,392,B,0,R,137,50,6,21,4,5,17,6,8,5,13,,0,0,29,301,676,Cotejo
'110795E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,795,393,E,0,R,59,67,2,18,3,6,12,2,1,2,43,,0,0,16,231,471,Recuento
'110796B0100,110796B0100,11,GUANAJUATO,47,DISTRITO I,796,394,B,0,R,119,72,2,18,2,5,19,2,12,3,17,,0,5,10,286,662,Cotejo
'110796C0100,110796C0100,11,GUANAJUATO,47,DISTRITO I,796,395,C,0,R,113,29,0,19,6,4,14,2,2,3,19,,0,0,18,229,662,Cotejo
'110797B0100,110797B0100,11,GUANAJUATO,47,DISTRITO I,797,396,B,0,R,106,56,1,23,4,7,34,4,5,1,13,,0,0,15,269,691,Cotejo
'110797C0100,110797C0100,11,GUANAJUATO,47,DISTRITO I,797,397,C,0,R,110,50,0,25,1,6,34,6,11,3,22,,0,0,13,281,691,Recuento
'110797C0200,110797C0200,11,GUANAJUATO,47,DISTRITO I,797,398,C,0,R,121,62,3,17,1,4,30,3,8,5,18,,0,0,26,298,690,Cotejo
'110797E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,797,399,E,0,R,90,40,0,19,5,19,22,9,6,4,9,,0,0,19,242,475,Cotejo
'110798B0100,110798B0100,11,GUANAJUATO,47,DISTRITO I,798,400,B,0,R,96,58,0,5,1,0,12,4,3,1,18,,0,0,0,198,404,Cotejo
'110798C0100,110798C0100,11,GUANAJUATO,47,DISTRITO I,798,401,C,0,R,72,86,0,4,0,0,9,5,5,1,8,,0,0,9,199,403,Cotejo
'110798E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,798,402,E,0,R,85,28,3,4,1,2,4,1,1,1,9,,0,0,9,148,357,Cotejo
'110803B0100,110803B0100,11,GUANAJUATO,47,DISTRITO I,803,412,B,0,R,151,40,1,15,2,2,19,3,6,1,11,,0,0,22,273,538,Cotejo
'110803C0100,110803C0100,11,GUANAJUATO,47,DISTRITO I,803,413,C,0,R,157,31,1,25,2,5,22,2,10,2,14,,0,0,27,298,538,Cotejo
'110803E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,803,414,E,0,R,123,59,1,11,2,5,18,9,1,1,19,,0,0,26,275,564,Cotejo
'110804B0100,110804B0100,11,GUANAJUATO,47,DISTRITO I,804,415,B,0,R,103,48,1,12,0,8,25,2,9,4,16,,0,0,3,231,583,Cotejo
'110804C0100,110804C0100,11,GUANAJUATO,47,DISTRITO I,804,416,C,0,R,79,53,2,11,1,7,30,0,6,3,13,,0,2,8,215,582,Cotejo
'110804E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,804,417,E,0,R,71,28,1,19,1,6,15,5,24,2,21,,0,0,11,204,459,Cotejo
'110804E0101,1.11E+106,11,GUANAJUATO,47,DISTRITO I,804,418,E,1,R,66,44,1,15,5,11,12,0,21,2,21,,0,0,18,216,459,Cotejo
'110807B0100,110807B0100,11,GUANAJUATO,47,DISTRITO I,807,424,B,0,R,93,47,3,3,4,2,28,2,8,0,9,,50,0,17,266,602,Cotejo
'110807C0100,110807C0100,11,GUANAJUATO,47,DISTRITO I,807,425,C,0,R,105,47,2,5,3,4,23,2,8,7,10,,0,0,8,224,602,Cotejo
'110807E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,807,426,E,0,R,101,41,3,7,3,1,4,1,9,0,12,,2,1,24,209,455,Cotejo
'110808B0100,110808B0100,11,GUANAJUATO,47,DISTRITO I,808,427,B,0,R,145,33,5,16,4,4,22,3,14,4,12,,4,6,4,276,601,Cotejo
'110808C0100,110808C0100,11,GUANAJUATO,47,DISTRITO I,808,428,C,0,R,168,28,1,7,2,3,22,2,13,5,8,,0,0,11,270,601,Cotejo
'110808E0100,1.11E+105,11,GUANAJUATO,47,DISTRITO I,808,429,E,0,R,154,24,5,9,2,3,23,1,6,4,6,,0,0,12,249,538,Cotejo
'110808E0101,1.11E+106,11,GUANAJUATO,47,DISTRITO I,808,430,E,1,R,132,29,1,15,5,0,27,2,2,2,9,,0,0,14,238,538,Cotejo
'111894B0100,111894B0100,11,GUANAJUATO,47,DISTRITO I,1894,3873,B,0,U,79,93,3,31,2,22,33,28,2,1,0,,0,0,11,305,487,Cotejo
'111894C0100,111894C0100,11,GUANAJUATO,47,DISTRITO I,1894,3874,C,0,U,74,84,1,34,1,20,29,30,0,0,1,,0,0,5,279,487,Cotejo
'111895B0100,111895B0100,11,GUANAJUATO,47,DISTRITO I,1895,3875,B,0,U,99,121,0,49,3,49,43,67,0,0,0,,0,0,16,447,736,Cotejo
'111895C0100,111895C0100,11,GUANAJUATO,47,DISTRITO I,1895,3876,C,0,U,75,121,2,46,9,53,39,43,2,0,1,,0,0,13,404,736,Cotejo
'111895C0200,111895C0200,11,GUANAJUATO,47,DISTRITO I,1895,3877,C,0,U,91,171,0,43,0,70,44,47,3,0,2,,0,1,6,478,736,Cotejo
'111896B0100,111896B0100,11,GUANAJUATO,47,DISTRITO I,1896,3846,B,0,R,69,137,0,28,0,21,52,39,1,0,0,,0,0,5,352,613,Cotejo
'111896C0100,111896C0100,11,GUANAJUATO,47,DISTRITO I,1896,3847,C,0,R,83,134,1,32,1,29,44,33,0,1,0,,0,0,15,373,612,Cotejo
'111897B0100,111897B0100,11,GUANAJUATO,47,DISTRITO I,1897,3878,B,0,U,52,103,0,24,2,31,22,98,0,2,3,,0,0,7,344,570,Recuento
'111897C0100,111897C0100,11,GUANAJUATO,47,DISTRITO I,1897,3879,C,0,U,60,108,2,26,1,18,26,102,0,0,0,,0,0,6,349,570,Cotejo
'111897C0200,111897C0200,11,GUANAJUATO,47,DISTRITO I,1897,3880,C,0,U,54,114,1,29,1,26,19,111,0,0,1,,0,0,7,363,570,Cotejo
'111898B0100,111898B0100,11,GUANAJUATO,47,DISTRITO I,1898,3848,B,0,R,27,71,1,6,1,6,58,21,1,2,0,,0,0,6,200,264,Cotejo
'111899B0100,111899B0100,11,GUANAJUATO,47,DISTRITO I,1899,3849,B,0,R,37,46,1,51,4,11,22,21,1,1,2,,0,0,5,202,453,Cotejo
'111899C0100,111899C0100,11,GUANAJUATO,47,DISTRITO I,1899,3850,C,0,R,23,28,0,30,4,18,19,23,1,0,0,,0,0,14,160,452,Recuento
'111900B0100,111900B0100,11,GUANAJUATO,47,DISTRITO I,1900,3851,B,0,R,7,64,1,30,2,8,37,45,2,1,0,,0,0,7,204,371,Recuento
'111901B0100,111901B0100,11,GUANAJUATO,47,DISTRITO I,1901,3852,B,0,R,26,182,0,49,5,15,6,34,0,0,0,,0,0,5,322,540,Cotejo
'111901C0100,111901C0100,11,GUANAJUATO,47,DISTRITO I,1901,3853,C,0,R,21,167,0,55,2,17,23,27,0,1,0,,0,0,11,324,539,Cotejo
'111901C0200,111901C0200,11,GUANAJUATO,47,DISTRITO I,1901,3854,C,0,R,28,197,0,37,3,15,21,37,0,1,0,,0,0,2,341,539,Recuento
'111901E0100,1.12E+105,11,GUANAJUATO,47,DISTRITO I,1901,3855,E,0,R,30,56,0,8,0,27,24,73,3,7,1,,0,0,12,241,348,Cotejo
'111902B0100,111902B0100,11,GUANAJUATO,47,DISTRITO I,1902,3856,B,0,R,34,47,0,19,4,13,11,41,2,1,0,,0,0,1,173,251,Cotejo
'111903B0100,111903B0100,11,GUANAJUATO,47,DISTRITO I,1903,3857,B,0,R,15,91,0,42,11,21,0,42,0,0,0,,0,0,0,222,456,Cotejo
'111903C0100,111903C0100,11,GUANAJUATO,47,DISTRITO I,1903,3858,C,0,R,18,83,2,42,4,10,11,37,1,0,0,,0,0,3,211,455,Cotejo
'111904B0100,111904B0100,11,GUANAJUATO,47,DISTRITO I,1904,3859,B,0,R,29,87,1,26,5,15,21,30,2,0,0,,0,0,6,222,443,Cotejo
'111904C0100,111904C0100,11,GUANAJUATO,47,DISTRITO I,1904,3860,C,0,R,42,98,0,14,5,12,14,23,0,1,2,,0,0,2,213,442,Cotejo
'111905B0100,111905B0100,11,GUANAJUATO,47,DISTRITO I,1905,3861,B,0,R,33,89,0,59,10,18,51,27,1,2,0,,0,0,4,294,522,Cotejo
'111905C0100,111905C0100,11,GUANAJUATO,47,DISTRITO I,1905,3862,C,0,R,45,92,2,31,4,17,45,27,2,2,0,,0,0,4,271,521,Cotejo
'111906B0100,111906B0100,11,GUANAJUATO,47,DISTRITO I,1906,3863,B,0,R,42,87,0,28,54,23,27,12,0,0,1,,0,0,7,281,534,Cotejo
'111906C0100,111906C0100,11,GUANAJUATO,47,DISTRITO I,1906,3864,C,0,R,45,106,1,37,44,17,18,13,1,1,0,,0,0,11,294,534,Cotejo
'111907B0100,111907B0100,11,GUANAJUATO,47,DISTRITO I,1907,3865,B,0,R,32,45,3,38,118,7,17,4,1,0,0,,0,0,6,271,493,Cotejo
'111907C0100,111907C0100,11,GUANAJUATO,47,DISTRITO I,1907,3866,C,0,R,20,34,2,21,149,4,16,3,0,0,0,,0,0,7,256,492,Cotejo
'111908B0100,111908B0100,11,GUANAJUATO,47,DISTRITO I,1908,3881,B,0,U,34,12,1,30,90,8,18,1,1,1,0,,0,0,4,200,434,Cotejo
'111908C0100,111908C0100,11,GUANAJUATO,47,DISTRITO I,1908,3882,C,0,U,26,22,1,30,82,3,33,3,1,1,0,,1,0,0,203,433,Cotejo
'111909B0100,111909B0100,11,GUANAJUATO,47,DISTRITO I,1909,3867,B,0,R,59,81,0,20,0,16,16,35,3,1,1,,0,0,12,244,352,Cotejo
'111910B0100,111910B0100,11,GUANAJUATO,47,DISTRITO I,1910,3868,B,0,R,73,88,2,24,1,16,36,23,0,4,0,,0,0,7,274,510,Cotejo
'111910C0100,111910C0100,11,GUANAJUATO,47,DISTRITO I,1910,3869,C,0,R,72,98,1,32,2,11,5,25,1,1,1,,0,0,4,253,510,Cotejo
'111910C0200,111910C0200,11,GUANAJUATO,47,DISTRITO I,1910,3870,C,0,R,78,98,2,0,0,14,15,26,0,5,0,,0,0,7,245,509,Cotejo
'111911B0100,111911B0100,11,GUANAJUATO,47,DISTRITO I,1911,3871,B,0,R,61,123,15,39,11,31,46,11,1,3,0,,3,0,9,353,629,Cotejo
'111911C0100,111911C0100,11,GUANAJUATO,47,DISTRITO I,1911,3872,C,0,R,65,126,9,46,8,26,50,21,2,4,0,,0,0,6,363,628,Cotejo
'112347B0100,112347B0100,11,GUANAJUATO,47,DISTRITO I,2347,4885,B,0,U,113,24,4,11,10,9,58,48,2,104,12,,0,0,11,406,736,Recuento
'112347C0100,112347C0100,11,GUANAJUATO,47,DISTRITO I,2347,4886,C,0,U,136,16,3,9,15,8,46,51,1,110,11,,0,2,19,427,735,Cotejo
'112348B0100,112348B0100,11,GUANAJUATO,47,DISTRITO I,2348,4887,B,0,U,91,14,5,10,11,4,36,22,1,78,11,,0,0,7,290,553,Cotejo
'112348C0100,112348C0100,11,GUANAJUATO,47,DISTRITO I,2348,4888,C,0,U,90,11,5,13,21,2,35,34,1,72,5,,0,0,7,296,552,Cotejo
'112348C0200,112348C0200,11,GUANAJUATO,47,DISTRITO I,2348,4889,C,0,U,101,8,1,18,9,3,24,31,0,55,4,,0,0,11,265,552,Cotejo
'112349B0100,112349B0100,11,GUANAJUATO,47,DISTRITO I,2349,4890,B,0,U,106,12,1,11,15,4,40,29,2,108,9,,0,0,11,348,640,Recuento
'112349C0100,112349C0100,11,GUANAJUATO,47,DISTRITO I,2349,4891,C,0,U,118,18,1,19,13,1,40,31,1,79,10,,0,1,15,347,639,Cotejo
'112350B0100,112350B0100,11,GUANAJUATO,47,DISTRITO I,2350,4839,B,0,R,130,24,1,18,9,2,56,34,1,108,15,,0,0,14,412,724,Cotejo
'112350C0100,112350C0100,11,GUANAJUATO,47,DISTRITO I,2350,4840,C,0,R,120,23,3,19,26,5,51,33,1,119,16,,0,0,18,434,724,Recuento
'112351B0100,112351B0100,11,GUANAJUATO,47,DISTRITO I,2351,4841,B,0,R,28,17,0,5,24,3,10,6,1,106,0,,0,0,7,207,405,Cotejo
'112351C0100,112351C0100,11,GUANAJUATO,47,DISTRITO I,2351,4842,C,0,R,38,10,1,9,20,2,22,14,2,104,3,,0,0,2,227,405,Cotejo
'112352B0100,112352B0100,11,GUANAJUATO,47,DISTRITO I,2352,4843,B,0,R,98,30,1,19,32,3,18,34,0,120,9,,0,0,9,373,642,Cotejo
'112352C0100,112352C0100,11,GUANAJUATO,47,DISTRITO I,2352,4844,C,0,R,89,15,2,7,47,0,17,23,0,140,6,,0,1,12,359,642,Cotejo
'112353B0100,112353B0100,11,GUANAJUATO,47,DISTRITO I,2353,4845,B,0,R,43,13,1,9,28,3,15,28,1,91,3,,0,0,10,245,376,Cotejo
'112353C0100,112353C0100,11,GUANAJUATO,47,DISTRITO I,2353,4846,C,0,R,53,11,1,7,26,1,18,12,2,96,2,,0,0,7,236,375,Cotejo
'112354B0100,112354B0100,11,GUANAJUATO,47,DISTRITO I,2354,4847,B,0,R,90,11,1,9,20,0,41,5,0,100,1,,0,0,10,288,523,Recuento
'112354C0100,112354C0100,11,GUANAJUATO,47,DISTRITO I,2354,4848,C,0,R,81,11,0,5,25,3,36,6,2,127,0,,0,0,6,302,523,Cotejo
'112355B0100,112355B0100,11,GUANAJUATO,47,DISTRITO I,2355,4849,B,0,R,82,15,1,11,17,8,9,13,0,47,3,,0,0,3,209,357,Cotejo
'112356B0100,112356B0100,11,GUANAJUATO,47,DISTRITO I,2356,4850,B,0,R,135,7,2,11,36,10,15,8,5,73,3,,0,0,15,320,574,Recuento
'112356C0100,112356C0100,11,GUANAJUATO,47,DISTRITO I,2356,4851,C,0,R,137,9,0,16,30,17,15,14,3,89,1,,0,0,16,347,574,Cotejo
'112356C0200,112356C0200,11,GUANAJUATO,47,DISTRITO I,2356,4852,C,0,R,104,11,2,14,42,10,10,9,2,118,4,,1,0,8,335,573,Recuento
'112356C0300,112356C0300,11,GUANAJUATO,47,DISTRITO I,2356,4853,C,0,R,130,5,0,9,40,14,18,11,2,91,2,,0,1,10,333,573,Cotejo
'112357B0100,112357B0100,11,GUANAJUATO,47,DISTRITO I,2357,4854,B,0,R,97,9,0,38,17,1,16,5,0,14,0,,0,0,8,205,389,Cotejo
'112358B0100,112358B0100,11,GUANAJUATO,47,DISTRITO I,2358,4855,B,0,R,138,23,5,10,18,1,22,14,1,188,4,,0,0,5,429,674,Cotejo
